"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"7736",0,4371.97002150041,2375.24199400077,5,13,1,6,10,"Size=5,D=0.005"
"7766",0,1339.68242345744,2373.06150693698,5,94,78,83,91,"Size=5,D=0.005"
"7801",0,333.406278824355,3147.51854803274,5,68,51,56,65,"Size=5,D=0.005"
"7810",0,3909.6773597514,1376.74763201654,5,112,92,97,109,"Size=5,D=0.005"
"7845",0,4007.86953171079,1888.39344796954,5,58,38,43,55,"Size=5,D=0.005"
"7872",0,208.278592673727,1551.31051559067,5,41,24,29,38,"Size=5,D=0.005"
"7934",0,571.156334653588,1761.94234650962,5,26,10,15,23,"Size=5,D=0.005"
"7984",0,3046.31884897629,2349.48534764145,5,34,19,24,31,"Size=5,D=0.005"
"7987",0,1818.17994407717,2478.4857065479,5,72,52,57,69,"Size=5,D=0.005"
"7994",0,2357.78908471819,2393.7665344303,5,39,29,34,36,"Size=5,D=0.005"
"8055",0,507.634867708856,1484.46396698768,5,55,35,40,52,"Size=5,D=0.005"
"8118",0,0,4370.41471526575,5,51,31,36,48,"Size=5,D=0.005"
"8142",0,3995.99640960633,1452.61557654451,5,72,52,57,69,"Size=5,D=0.005"
"8177",0,970.943075788104,3480.32821879861,5,78,58,63,75,"Size=5,D=0.005"
"8179",0,528.094637726598,2227.35312780685,5,27,13,18,24,"Size=5,D=0.005"
"8264",0,1233.71299397788,2310.58819881988,5,26,9,14,23,"Size=5,D=0.005"
"8292",0,923.401111304512,1285.53835175924,5,37,20,25,34,"Size=5,D=0.005"
"8301",0,2971.87299605834,1995.99278518715,5,83,63,68,80,"Size=5,D=0.005"
"8314",0,3740.0621427629,1577.18082967251,5,53,34,39,50,"Size=5,D=0.005"
"8336",1,997.877675731938,2524.771355591,5,30,13,18,27,"Size=5,D=0.005"
"8348",0,0,4232.63816536639,5,30,19,24,27,"Size=5,D=0.005"
"8351",1,4035.27649279915,5036.99871330749,5,61,42,47,58,"Size=5,D=0.005"
"8421",0,2132.92259221386,3926.49723796089,5,39,20,25,36,"Size=5,D=0.005"
"8426",0,1941.80522599654,934.609635302672,5,57,37,42,54,"Size=5,D=0.005"
"8441",0,5171.88066581886,2021.58435687194,5,56,36,41,53,"Size=5,D=0.005"
