"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"3287",0,1097.16618234238,2099.95421715698,2,5.00563086639292,3.00563086639292,5.00563086639292,5.00563086639292,"Size=2,D=0.005"
"3292",0,0,1751.1967372021,2,5.07819138968913,3.07819138968913,5.07819138968913,5.07819138968913,"Size=2,D=0.005"
"3300",0,2105.23031782158,846.227495782278,2,8.02085862960222,6.02085862960222,8.02085862960222,8.02085862960222,"Size=2,D=0.005"
"3301",0,2030.25040205794,1695.18723735739,2,3.15327119155889,2.12105224197819,4.12105224197819,3.15327119155889,"Size=2,D=0.005"
"3308",0,167.045147572794,2682.71631303882,2,5.01890818886124,3.01890818886124,5.01890818886124,5.01890818886124,"Size=2,D=0.005"
"3310",0,255.390295926511,3304.25203589866,2,4.00017042234894,2.00017042234894,4.00017042234894,4.00017042234894,"Size=2,D=0.005"
"3315",0,1112.74186136536,4796.67697240627,2,5.00349938287898,3.00349938287898,5.00349938287898,5.00349938287898,"Size=2,D=0.005"
"3318",0,1634.70353852269,1524.26566675024,2,7.00924650325668,5.00924650325668,7.00924650325668,7.00924650325668,"Size=2,D=0.005"
"3333",0,2603.40731100148,1301.51685389321,2,5.00616894579306,3.00616894579306,5.00616894579306,5.00616894579306,"Size=2,D=0.005"
"3336",0,2645.54373934469,2746.24962226326,2,5.10222123003702,3.10222123003702,5.10222123003702,5.10222123003702,"Size=2,D=0.005"
"3344",0,639.073029445658,1718.11425055846,2,7.05568581030036,5.05568581030036,7.05568581030036,7.05568581030036,"Size=2,D=0.005"
"3346",0,449.130757664146,896.189851602565,2,2.15942194446906,0.15942194446906,2.15942194446906,2.15942194446906,"Size=2,D=0.005"
"3348",0,0,1851.14129799282,2,5.03235512591246,3.03235512591246,5.03235512591246,5.03235512591246,"Size=2,D=0.005"
"3350",0,3653.22281981976,1180.45395063861,2,3.00384029642725,1.00384029642725,3.00384029642725,3.00384029642725,"Size=2,D=0.005"
"3358",0,2415.41729165429,1246.77238138345,2,5.13039555629275,3.13039555629275,5.13039555629275,5.13039555629275,"Size=2,D=0.005"
"3360",0,327.152241115201,1528.63894648124,2,5.00451601260951,3.00451601260951,5.00451601260951,5.00451601260951,"Size=2,D=0.005"
"3369",0,869.526535323406,2499.89373385964,2,8.00057161334329,6.00057161334329,8.00057161334329,8.00057161334329,"Size=2,D=0.005"
"3372",0,0,3545.92542814776,2,5.00044664361898,3.00044664361898,5.00044664361898,5.00044664361898,"Size=2,D=0.005"
"3379",0,457.681649713971,1415.91702353917,3,9.00551199475693,3.00551199475693,6.00551199475693,8.00551199475693,"Size=2,D=0.005"
"3385",0,3472.49115285842,931.730989897136,3,8.02967438119951,3.02807253204756,6.02807253204756,7.02967438119951,"Size=2,D=0.005"
"3386",0,1058.72725053937,1470.59825404686,2,5.02315147718541,3.02315147718541,5.02315147718541,5.02315147718541,"Size=2,D=0.005"
"3390",0,141.941610230563,2834.68356712499,2,5.002309231524,3.002309231524,5.002309231524,5.002309231524,"Size=2,D=0.005"
"3398",0,1519.03336294613,1321.98010385775,2,3.00295510772015,1.00295510772015,3.00295510772015,3.00295510772015,"Size=2,D=0.005"
"3400",0,1666.89432768269,718.455450548377,2,3.03137151040128,1.03137151040128,3.03137151040128,3.03137151040128,"Size=2,D=0.005"
"3403",0,844.578351658942,1253.4925589751,2,5.0188849471284,3.0188849471284,5.0188849471284,5.0188849471284,"Size=2,D=0.005"
"3404",0,3544.30488845796,1362.57975678516,3,9.01319647458174,4.00065239702586,7.00065239702586,8.01319647458174,"Size=2,D=0.005"
"3411",0,1090.94564877989,2409.5700901771,2,6.03700618614005,4.03700618614005,6.03700618614005,6.03700618614005,"Size=2,D=0.005"
"3419",0,3444.81422665288,1056.53842344999,2,5.10583515347754,3.10583515347754,5.10583515347754,5.10583515347754,"Size=2,D=0.005"
"3424",0,1686.15011928807,4441.0371987076,2,4.06111209281075,2.06111209281075,4.06111209281075,4.06111209281075,"Size=2,D=0.005"
"3428",0,0,6756.44930625399,2,6.00560391545147,4.00560391545147,6.00560391545147,6.00560391545147,"Size=2,D=0.005"
"3438",0,1499.8132823023,1384.83918775129,2,2.01188487856517,0.0118848785651733,2.01188487856517,2.01188487856517,"Size=2,D=0.005"
"3440",0,4558.87225008921,3742.79764430977,2,6.19019007996053,4.19019007996053,6.19019007996053,6.19019007996053,"Size=2,D=0.005"
"3441",0,577.847744791183,599.083813269831,2,2.01365366060507,0.013653660605065,2.01365366060507,2.01365366060507,"Size=2,D=0.005"
"3443",2,942.011780429976,619.269679001974,2,7.13759391452417,5.13759391452417,7.13759391452417,7.13759391452417,"Size=2,D=0.005"
"3445",0,115.905693904268,630.729053688706,2,4.01196952356979,2.01196952356979,4.01196952356979,4.01196952356979,"Size=2,D=0.005"
"3454",0,697.844208417458,1781.50932310997,2,5.0014235332136,3.0014235332136,5.0014235332136,5.0014235332136,"Size=2,D=0.005"
"3455",0,2336.49361862725,2939.54940432058,2,5.01055771266424,3.01055771266424,5.01055771266424,5.01055771266424,"Size=2,D=0.005"
"3461",0,185.062752234531,1618.3507814425,2,5.01245618580758,3.01245618580758,5.01245618580758,5.01245618580758,"Size=2,D=0.005"
"3464",0,1049.57515482824,1423.49716152273,2,4.0747878883149,2.0747878883149,4.0747878883149,4.0747878883149,"Size=2,D=0.005"
"3472",0,5094.49756828391,875.644793366499,2,4.05304145814269,2.05304145814269,4.05304145814269,4.05304145814269,"Size=2,D=0.005"
"3486",0,1125.77911485196,1569.2679688611,2,3.02900490616801,2.0224266015323,4.0224266015323,3.02900490616801,"Size=2,D=0.005"
"3500",0,1330.06597435639,1710.65075837394,2,8.02458209071041,6.02458209071041,8.02458209071041,8.02458209071041,"Size=2,D=0.005"
"3504",0,276.583220180554,890.602443089537,2,5.00566092973609,3.00566092973609,5.00566092973609,5.00566092973609,"Size=2,D=0.005"
"3505",0,0,1374.16022569085,2,6.15586554340534,4.15586554340534,6.15586554340534,6.15586554340534,"Size=2,D=0.005"
"3507",0,230.512926931317,4302.27409321305,2,6.00275572232901,4.00275572232901,6.00275572232901,6.00275572232901,"Size=2,D=0.005"
"3509",0,333.66798003155,983.097233825925,2,3.39433634755052,1.39433634755052,3.39433634755052,3.39433634755052,"Size=2,D=0.005"
"3512",0,2576.48393442516,3570.41112141217,2,8.02028237041081,6.02028237041081,8.02028237041081,8.02028237041081,"Size=2,D=0.005"
"3517",0,396.062748091728,663.652185882508,2,4.00000060757603,2.00000060757603,4.00000060757603,4.00000060757603,"Size=2,D=0.005"
"3522",0,0,1701.67419759171,2,4.01435019024347,2.01435019024347,4.01435019024347,4.01435019024347,"Size=2,D=0.005"
"3523",0,2863.88638298566,349.17907189269,2,4.08720313712972,3.0061500723373,5.0061500723373,4.08720313712972,"Size=2,D=0.005"
"3528",0,1372.37916383919,1286.38534723493,2,6.00009366683998,4.00009366683998,6.00009366683998,6.00009366683998,"Size=2,D=0.005"
"3532",0,1563.70425902865,772.946711934685,2,3.00069595898376,1.00069595898376,3.00069595898376,3.00069595898376,"Size=2,D=0.005"
"3535",0,2894.75807137346,616.455028535268,2,4.034270271894,2.034270271894,4.034270271894,4.034270271894,"Size=2,D=0.005"
"3542",0,1905.94767386559,533.198890698387,2,7.00685093726385,5.00685093726385,7.00685093726385,7.00685093726385,"Size=2,D=0.005"
"3543",0,484.565914255983,1618.21154866285,2,7.00892509728646,5.00892509728646,7.00892509728646,7.00892509728646,"Size=2,D=0.005"
"3545",0,0,2633.24029132551,2,7.04270808582559,5.04270808582559,7.04270808582559,7.04270808582559,"Size=2,D=0.005"
"3546",0,1147.24974433251,844.543596504766,2,6.04854096431256,4.04854096431256,6.04854096431256,6.04854096431256,"Size=2,D=0.005"
"3548",0,1867.34877156961,4636.79407985404,2,4.01726487327983,2.01726487327983,4.01726487327983,4.01726487327983,"Size=2,D=0.005"
"3554",0,1106.96500856923,1228.18275590026,2,2.17577233428617,0.175772334286167,2.17577233428617,2.17577233428617,"Size=2,D=0.005"
"3557",0,916.013568925765,4073.16134624353,2,7.00180136646434,5.00180136646434,7.00180136646434,7.00180136646434,"Size=2,D=0.005"
"3559",0,207.138957576734,830.416609329343,2,3.05583528508054,1.05583528508054,3.05583528508054,3.05583528508054,"Size=2,D=0.005"
"3560",0,0,2527.34975830434,2,5.04942471116357,3.04942471116357,5.04942471116357,5.04942471116357,"Size=2,D=0.005"
"3568",0,3933.617011634,2401.70839196769,2,7.07024321472347,5.07024321472347,7.07024321472347,7.07024321472347,"Size=2,D=0.005"
"3569",0,0,2397.66443907981,2,4.02984644981241,2.02984644981241,4.02984644981241,4.02984644981241,"Size=2,D=0.005"
"3571",1,724.435603873775,1642.19079689077,2,6.00046783229322,4.00046783229322,6.00046783229322,6.00046783229322,"Size=2,D=0.005"
"3574",0,958.181310564245,1972.73821280309,2,4.00038754370816,2.00038754370816,4.00038754370816,4.00038754370816,"Size=2,D=0.005"
"3585",0,3111.28192869418,1059.61168597716,3,7.00893898106126,2.00069542126506,5.00069542126506,6.00893898106126,"Size=2,D=0.005"
"3598",0,0,5238.88770686448,2,7.02110992467135,5.02110992467135,7.02110992467135,7.02110992467135,"Size=2,D=0.005"
"3601",0,2426.74796076397,1683.73128496085,3,8.37784799902133,3.27694225232613,6.27694225232613,7.37784799902133,"Size=2,D=0.005"
