"simid","intervention","ida_per_contact","pia_per_contact","ida_random","pia_random","ida_diff","pia_diff","ida_ratio","pia_ratio","ida_pct_change","pia_pct_change"
8059,"network",94.5330611695531,0.00459482038429407,23.9560589696479,0,70.5770021999052,0.00459482038429407,3.94610237390572,NA,294.610237390573,NA
8073,"network",94.5483664135618,0,32.6510346207767,0,61.8973317927851,0,2.89572344373426,NA,189.572344373426,NA
8079,"network",171.417231850771,0,53.2243551705478,0,118.192876680223,0,3.22065399010463,NA,222.065399010463,NA
8083,"network",0,0,0,0,0,0,NA,NA,NA,NA
8091,"network",116.303801707388,0,235.602687425778,0,-119.298885718389,0,0.493643782157738,NA,-50.6356217842262,NA
8098,"network",132.677882433229,0.00357142857142857,156.250932963789,0,-23.5730505305599,0.00357142857142857,0.84913337742423,NA,-15.086662257577,NA
8099,"network",162.945066382608,0.0251748251748252,1033.32939097059,0.0666666666666667,-870.384324587978,-0.0414918414918415,0.157689375533543,0.377622377622378,-84.2310624466457,-62.2377622377622
8100,"network",93.5681620084253,0.00313479623824451,80.6888283107847,0,12.8793336976406,0.00313479623824451,1.15961730969787,NA,15.9617309697868,NA
8105,"network",40.8741755092889,0,131.06497391536,0,-90.1907984060713,0,0.311861928387403,NA,-68.8138071612597,NA
8114,"network",41.4436915956469,0.00694444444444444,36.7702599672638,0,4.67343162838305,0.00694444444444444,1.12709813943507,NA,12.7098139435069,NA
8115,"network",26.2443375646308,0,39.3665063469462,0,-13.1221687823154,0,0.666666666666667,NA,-33.3333333333333,NA
8117,"network",109.829495501227,0,125.136525898747,0,-15.3070303975203,0,0.877677358488394,NA,-12.2322641511606,NA
8122,"network",0,0,0,0,0,0,NA,NA,NA,NA
8125,"network",41.1779859724457,0,133.646927713615,0,-92.4689417411689,0,0.308110232512669,NA,-69.1889767487331,NA
8129,"network",101.344158216289,0.0148148148148148,84.6670772464389,0,16.6770809698498,0.0148148148148148,1.19697244208995,NA,19.6972442089954,NA
8137,"network",209.149474378655,0.00714285714285714,228.010049054608,0,-18.8605746759532,0.00714285714285714,0.917281827032825,NA,-8.27181729671753,NA
8138,"network",133.395569680992,0,0,0,133.395569680992,0,NA,NA,NA,NA
8142,"network",57.493853782731,0.0153846153846154,145.647486596147,0,-88.1536328134162,0.0153846153846154,0.394746625062954,NA,-60.5253374937046,NA
8143,"network",166.579730598345,0.0123456790123457,472.627613594567,0,-306.047882996222,0.0123456790123457,0.352454502883197,NA,-64.7545497116803,NA
8145,"network",107.703924858246,0,124.835900584973,0,-17.1319757267271,0,0.862764031448904,NA,-13.7235968551096,NA
8161,"network",79.1324429072027,0,189.886461508983,0,-110.754018601781,0,0.416735570710811,NA,-58.3264429289189,NA
8164,"network",68.0495871233094,0,0,0,68.0495871233094,0,NA,NA,NA,NA
8166,"network",123.423018224441,0,178.443865329283,0,-55.0208471048414,0,0.691662994391478,NA,-30.8337005608522,NA
8174,"network",64.0145245496632,0,0,0,64.0145245496632,0,NA,NA,NA,NA
8199,"network",127.183123362256,0.00622106481481481,924.214097716922,0,-797.030974354666,0.00622106481481481,0.137612187128973,NA,-86.2387812871027,NA
8205,"network",152.295012936595,0,64.9254404080669,0,87.3695725285281,0,2.34569087216654,NA,134.569087216654,NA
8213,"network",99.9462634079809,0,45.3335283172623,0,54.6127350907185,0,2.20468750432388,NA,120.468750432388,NA
8215,"network",79.8804410472323,0.00267379679144385,0,0,79.8804410472323,0.00267379679144385,NA,NA,NA,NA
8217,"network",103.441884258888,0,0,0,103.441884258888,0,NA,NA,NA,NA
8226,"network",45.8483519488373,0,0,0,45.8483519488373,0,NA,NA,NA,NA
8227,"network",110.559470985814,0,89.1112005748409,0,21.448270410973,0,1.24069107219535,NA,24.0691072195346,NA
8229,"network",44.5864513681519,0,756.745120450373,0,-712.158669082221,0,0.0589187167029455,NA,-94.1081283297055,NA
8234,"network",149.978296922806,0,71.6538522061074,0,78.3244447166984,0,2.09309468095872,NA,109.309468095872,NA
8243,"network",90.0935505852099,0,104.799398718529,0,-14.7058481333195,0,0.859676216532344,NA,-14.0323783467656,NA
8251,"network",39.1364036743874,0,0,0,39.1364036743874,0,NA,NA,NA,NA
8252,"network",44.2845157492988,0,38.9390119906173,0,5.34550375868147,0,1.13727887497427,NA,13.7278874974268,NA
8254,"network",8.70136289483314,0.0476190476190476,26.1040886844994,0.142857142857143,-17.4027257896663,-0.0952380952380952,0.333333333333333,0.333333333333333,-66.6666666666667,-66.6666666666667
8256,"network",84.7048523665728,0,1255.64639864578,0,-1170.94154627921,0,0.0674591608417206,NA,-93.2540839158279,NA
8264,"network",108.733570710241,0,91.224284163093,0,17.5092865471479,0,1.19193668339282,NA,19.1936683392816,NA
8265,"network",52.4161430396521,0,0,0,52.4161430396521,0,NA,NA,NA,NA
8266,"network",29.597932578459,0,0,0,29.597932578459,0,NA,NA,NA,NA
8267,"network",69.6594421075856,0,0,0,69.6594421075856,0,NA,NA,NA,NA
8271,"network",100.951115304943,0,39.8119314476652,0,61.1391838572777,0,2.53570001841403,NA,153.570001841403,NA
8276,"network",145.003952543466,0,27.8163397929345,0,117.187612750532,0,5.21290556640016,NA,421.290556640016,NA
8284,"network",10.1775267590975,0,0,0,10.1775267590975,0,NA,NA,NA,NA
8285,"network",89.6172254106189,0,45.2851250622711,0,44.3321003483477,0,1.97895501640742,NA,97.8955016407421,NA
8303,"network",206.762611380716,0,0,0,206.762611380716,0,NA,NA,NA,NA
8307,"network",106.773900992295,0,164.076934543836,0,-57.3030335515406,0,0.650755094182777,NA,-34.9244905817223,NA
8314,"network",51.0405117301544,0.0173667570009033,13.9028298739321,0,37.1376818562223,0.0173667570009033,3.67123184222052,NA,267.123184222052,NA
8319,"network",37.2235801410646,0.025,209.130696104365,0,-171.9071159633,0.025,0.177991948740459,NA,-82.2008051259541,NA
8321,"network",99.3002971551188,0,75.6410915817043,0,23.6592055734145,0,1.31278244507959,NA,31.2782445079588,NA
8326,"network",82.0708644432383,0,84.2000499188387,0,-2.12918547560041,0,0.974712776564233,NA,-2.5287223435767,NA
8334,"network",49.284916735001,0.00833333333333333,176.962258816206,0,-127.677342081205,0.00833333333333333,0.278505242104694,NA,-72.1494757895306,NA
8337,"network",132.06346648618,0,0,0,132.06346648618,0,NA,NA,NA,NA
8348,"network",29.3584149818967,0,48.8272041271367,0,-19.46878914524,0,0.60127167849818,NA,-39.872832150182,NA
8351,"network",86.4574087443471,0.00466200466200466,0,0,86.4574087443471,0.00466200466200466,NA,NA,NA,NA
