donor,recipient,distance,timetransmission,contacttype,simid
0,0.3,0.007,323.1762933830502,G,83
0.2,0.2.1,0.005,806.4593024668984,G,83
0.2,0.2.2,0.0,914.016061340367,F,83
0.3,0.3.1,0.0,3240.7252279007657,F,83
0.2.1,0.2.1.1,0.014,897.9591172385276,G,83
0,0.1,Inf,851.7579109227271,G,84
0.1,0.1.1,Inf,1933.611449890223,G,84
0.1,0.1.2,Inf,2269.3223961266804,G,84
0.1,0.1.3,Inf,3157.0856702398346,G,84
0.1.1,0.1.1.1,0.001,3651.066668517127,G,84
0.1.2,0.1.2.1,Inf,2560.4913225591217,G,84
0.1.2,0.1.2.2,Inf,2936.1714013952464,G,84
0.1.2,0.1.2.3,Inf,3238.6807734286235,G,84
0.1.2,0.1.2.4,Inf,3518.8615938479475,F,84
0.1.2,0.1.2.5,Inf,3884.1636259827637,G,84
0.1.3,0.1.3.1,0.003,4245.816862098661,G,84
0.1.2.1,0.1.2.1.1,Inf,2658.968294485818,G,84
0.1.2.2,0.1.2.2.1,0.0,3771.966704675174,F,84
0.1.2.5,0.1.2.5.1,0.005,4837.1299441272395,G,84
0.1.2.5,0.1.2.5.2,0.014,5360.35603364667,G,84
0.1.3.1,0.1.3.1.1,0.007,4654.996702008462,G,84
0.1.2.1.1,0.1.2.1.1.1,Inf,2705.176061774322,G,84
0.1.2.1.1,0.1.2.1.1.2,Inf,3174.404653188884,G,84
0.1.2.5.1,0.1.2.5.1.1,Inf,4888.045307439822,G,84
0.1.2.5.1,0.1.2.5.1.2,0.019,5422.394975201501,G,84
0.1.2.5.2,0.1.2.5.2.1,0.019,5777.933369991031,G,84
0.1.2.5.2,0.1.2.5.2.2,0.007,5947.968121792477,G,84
0.1.2.5.2,0.1.2.5.2.3,0.017,6163.059548535742,G,84
0.1.3.1.1,0.1.3.1.1.1,0.005,4837.097898294903,F,84
0.1.2.1.1.1,0.1.2.1.1.1.1,0.007,2706.2708967999843,G,84
0.1.2.1.1.2,0.1.2.1.1.2.1,0.017,3186.142168926662,H,84
0.1.2.1.1.2,0.1.2.1.1.2.2,0.009,4024.5688822161633,G,84
